Match ID,Match Date,Venue,Half-score,Full-score,Conditions,Opponent,Opp-formation,Formation,Goals Scored,Goals Conceded,Clean sheet,Possession,Shots,Passes,Opp-shots,Opp-passes,Quadrant Points
CS-BEL-CRO,2026/03/14,Stryda Park,1-1,3-3,Fine,Croatia,433,433,3,3,no,45,14,222,9,291,-2
R1-WAN-BEL,2026/03/29,Melrose Synthetic,0-4,0-7,Fine,Wanderers,433,433,7,0,yes,56,23,306,1,245,56
R2-BEL-TUG,2026/04/12,Gungahlin Enclosed,5-0,7-2,Windy,Tuggeranong,532,433,7,2,no,72,30,291,5,126,62
R3-MAJ-BEL,2026/04/19,AIS Synthetic,0-5,0-10,Fine,Majura,451,433,10,0,yes,66,50,369,0,201,107
R4-OLY-BEL,2026/04/26,O'Connor Enclosed,0-2,0-2,Fine,Olympic,433,433,2,0,yes,51,13,214,4,205,18
R5-BEL-CRO,2026/05/03,AIS Grass,1-0,2-0,Rain,Croatia,433,433,2,0,yes,55,14,260,4,214,23
R6-BEL-WAN,2026/05/10,McKellar Park,7-0,8-1,Fine,Wanderers,451,433,8,1,no,61,26,386,2,255,65
R7-MAJ-BEL,2026/05/17,Gungahlin Enclosed,0-11,0-17,Fine,Majura,451,433,17,0,yes,67,48,309,0,176,129
R8-TUG-BEL,2026/05/20,Greenway Enclosed,0-1,0-4,Fine,Tuggeranong,451,433,4,0,yes,70,21,362,0,173,56
R9-BEL-OLY,2026/05/24,McKellar Park,1-0,3-0,Fine,Olympic,433,433,3,0,yes,59,21,291,3,209,38
R10-CRO-BEL,2026/05/31,Deakin Stadium,1-1,1-1,Fine,Croatia,433,433,1,1,no,50,8,277,3,301,3
R11-BEL-WAN,2026/06/14,McKellar Park,4-0,7-0,Fine,Wanderers,433,433,7,0,yes,62,39,328,0,213,79
R12-BEL-TUG,2026/06/21,McKellar Park,5-0,8-0,Fine,Tuggeranong,442,433,8,0,yes,80,36,428,1,132,97
R13-BEL-MAJ,2026/06/28,McKellar Park,6-0,10-0,Rainy,Majura,532,433,10,0,yes,69,29,371,0,190,87
