Match ID,Recording,Match Date,Venue,Half-score,Full-score,Home Team,Away Team,Scorer Team,Minute Scored,Scorer,Assist,Goal Type,Assist type,How penetrated,Buildup Lane,First-time finish,Finish Type,Pass-string,Goal X,Goal Y
R1-MAJ-OLY,analysed,2026/03/29,Hawker Synthetic,0-1,0-3,MajuraRes,OlympicRes,OlympicRes,34,Martiniello,Richards,R-MT-DT,Pass,Through,Centre,No,Right Foot,1,48,8.5
R1-MAJ-OLY,analysed,2026/03/29,Hawker Synthetic,0-1,0-3,MajuraRes,OlympicRes,OlympicRes,57,Martiniello,Richards,R-FT-DT,Cross,Around,Right,Yes,Left Foot,1,44,5.5
R1-MAJ-OLY,analysed,2026/03/29,Hawker Synthetic,0-1,0-3,MajuraRes,OlympicRes,OlympicRes,66,D.Williams,Mcrae,R-MT-DT,Cross,Around,Left,Yes,Left Foot,2,44,6.5
R1-TUG-CFC,analysed,2026/04/02,Kambah 2,0-1,0-3,TuggeranongRes,CroatiaRes,CroatiaRes,8,E.Hazilias,,R-FT-AT,,Error,Right,Yes,Left Foot,0,50,2.5
R1-TUG-CFC,analysed,2026/04/03,Kambah 2,0-1,0-3,TuggeranongRes,CroatiaRes,CroatiaRes,70,Majetic,Hill,SP-C,Pass,Through,Centre,Yes,Left Foot,2,44.9,4.95
R1-TUG-CFC,analysed,2026/04/04,Kambah 2,0-1,0-3,TuggeranongRes,CroatiaRes,CroatiaRes,86,Zakman,Hill,R-BT-AT,Buildup,Through,Right,Yes,Right Foot,2,45.6,2.73
R1-WAN-BELR,analysed,2026/03/29,Melrose Synthetic,0-2,1-4,WanderersRes,BelReserves,WanderersRes,48,York,,R-FT-DT,Error,Error,Centre,No,Right Foot,0,33,17
R1-WAN-BELR,analysed,2026/03/29,Melrose Synthetic,0-2,1-4,WanderersRes,BelReserves,BelReserves,2,Sammy,Maja,R-MT-DT,Cross,Around,Right,Yes,Left Foot,2,50,6
R1-WAN-BELR,analysed,2026/03/29,Melrose Synthetic,0-2,1-4,WanderersRes,BelReserves,BelReserves,63,Sammy,Molly,R-MT-DT,Shot,Through,Left,Yes,Right Foot,3,62,3
R1-WAN-BELR,analysed,2026/03/29,Melrose Synthetic,0-2,1-4,WanderersRes,BelReserves,BelReserves,43,Scarlett,Sammy,R-BT-AT,Buildup,Around,Right,Yes,Right Foot,6,50,7
R1-WAN-BELR,analysed,2026/03/29,Melrose Synthetic,0-2,1-4,WanderersRes,BelReserves,BelReserves,84,OG,Sammy,SP-C,Inswinger,,Right,Yes,Head,2,47,6
R2-BELR-TUG,analysed,2026/04/12,Gunghalin Enclosed,1-0,7-0,BelReserves,TuggeranongRes,BelReserves,53,Eden,Ariana,R-BT-AT,Buildup,Over,Left,Yes,Right Foot,9,44,4.8
R2-BELR-TUG,analysed,2026/04/12,Gunghalin Enclosed,1-0,7-0,BelReserves,TuggeranongRes,BelReserves,56,Issey,Ariana,R-FT-AT,Pass,Through,Right,No,Right Foot,2,51.4,10.7
R2-BELR-TUG,analysed,2026/04/12,Gunghalin Enclosed,1-0,7-0,BelReserves,TuggeranongRes,BelReserves,58,Lily,Ariana,R-BT-AT,Buildup,Through,Left,Yes,Right Foot,8,43.2,3.2
R2-BELR-TUG,analysed,2026/04/12,Gunghalin Enclosed,1-0,7-0,BelReserves,TuggeranongRes,BelReserves,71,Siena,Eden,R-MT-DT,Pass,Through,Left,No,Right Foot,2,37.6,13.7
R2-BELR-TUG,analysed,2026/04/12,Gunghalin Enclosed,1-0,7-0,BelReserves,TuggeranongRes,BelReserves,34,Lily,Issey,R-FT-DT,Buildup,Over,Right,No,Right Foot,4,34.4,13
R2-BELR-TUG,analysed,2026/04/12,Gunghalin Enclosed,1-0,7-0,BelReserves,TuggeranongRes,BelReserves,69,Molly,Lily,R-FT-AT,Buildup,Through,Centre,No,Right Foot,9,49.3,11.3
R2-BELR-TUG,analysed,2026/04/12,Gunghalin Enclosed,1-0,7-0,BelReserves,TuggeranongRes,BelReserves,88,Lily,Sarah,R-BT-DT,Buildup,Through,Left,No,Right Foot,5,34.6,9.3000000000000007
R2-CFC-OLY,analysed,2026/04/12,Deakin Stadium,1-0,1-1,CroatiaRes,OlympicRes,CroatiaRes,35,N.DeMarco,,R-FT-AT,,Error,Centre,Yes,Right Foot,0,39.700000000000003,3.3
R2-CFC-OLY,analysed,2026/04/12,Deakin Stadium,1-0,1-1,CroatiaRes,OlympicRes,OlympicRes,60,Ness,Bongiorno,R-MT-DT,Pass,Through,Right,Yes,Right Foot,1,50,18.3
R2-MAJ-WAN,analysed,2026/04/12,Hawker Synthetic,0-1,0-4,MajuraRes,WanderersRes,WanderersRes,17,Tomanovits,L.Babic,R-FT-AT,Pass,Through,Centre,No,Left Foot,11,36.4,13.5
R2-MAJ-WAN,analysed,2026/04/12,Hawker Synthetic,0-1,0-4,MajuraRes,WanderersRes,WanderersRes,51,Bridge,A.Babic,R-MT-AT,Pass,Through,Centre,No,Right Foot,5,62,27.2
R2-MAJ-WAN,analysed,2026/04/12,Hawker Synthetic,0-1,0-4,MajuraRes,WanderersRes,WanderersRes,63,A.Babic,L.Babic,R-FT-AT,Pass,Through,Centre,No,Left Foot,3,43.9,21.4
R2-MAJ-WAN,analysed,2026/04/12,Hawker Synthetic,0-1,0-4,MajuraRes,WanderersRes,WanderersRes,84,Bridge,,R-FT-AT,,Error,Centre,No,Right Foot,0,53.1,6.7
R3-CFC-WAN,analysed,2026/04/19,Deakin Stadium,1-0,1-0,CroatiaRes,WanderersRes,CroatiaRes,14,Milin,,SP-P,,Error,Centre,Yes,Right Foot,0,50,12
R3-MAJ-BELR,analysed,2026/04/19,AIS Synthetic,0-6,0-11,MajuraRes,BelReserves,BelReserves,28,Lily,Eden,R-BT-DT,Buildup,Through,Right,No,Right Foot,4,53.7,8.6999999999999993
R3-MAJ-BELR,analysed,2026/04/19,AIS Synthetic,0-6,0-11,MajuraRes,BelReserves,BelReserves,50,Sage,Gemma,R-FT-AT,Buildup,Through,Left,No,Right Foot,2,15.6,25.6
R3-MAJ-BELR,analysed,2026/04/19,AIS Synthetic,0-6,0-11,MajuraRes,BelReserves,BelReserves,16,Eden,Lily,SP-C,Pass,Through,Centre,No,Right Foot,3,50.1,6.1
