Match ID,Match Date,Venue,Half-score,Full-score,Conditions,Opponent,Opp-formation,Formation,Goals Scored,Goals Conceded,Clean sheet,Possession,Shots,Passes,Opp-shots,Opp-passes,Quadrant Points
R1-WAN-BELR,2026/03/29,Melrose Synthetic,0-2,1-4,Fine,WanderersRes,433,433,4,1,No,55,19,244,3,202,32.200000000000003
R2-BELR-TUG,2026/04/12,Gunghalin Enclosed,1-0,7-0,Windy,TuggeranongRes,451,433,7,0,Yes,73,30,329,1,137,76.2
R3-MAJ-BELR,2026/04/19,AIS Synthetic,0-6,0-11,Fine,MajuraRes,343,433,11,0,Yes,73,22,334,0,144,85
R4-OLY-BELR,2026/04/26,O'Connor Enclosed,1-2,1-3,Perfect,OlympicRes,433,433,3,1,No,46,19,223,1,264,21.9
R5-BELR-CFC,2026/05/03,AIS Grass,2-1,8-1,Fine,CroatiaRes,433,433,8,1,No,55,13,226,4,191,40.499999999999993
R6-BELR-WAN,2026/05/10,McKellar Park,4-0,8-0,Perfect,WanderersRes,433,433,8,0,Yes,62,13,326,1,195,57.099999999999994
R7-MAJ-BELR,2026/05/17,Gunghalin Enclosed,0-3,0-3,Fine,MajuraRes,433,433,3,0,Yes,0,0,0,0,0,12
R8-TUG-BELR,2026/05/20,Greenway,0-3,0-9,Fine,TuggeranongRes,442,343,9,0,Yes,63,23,255,2,170,65.5
R9-BELR-OLY,2026/05/24,McKellar Park,3-0,4-0,Fine,OlympicRes,442,343,4,0,Yes,53,11,258,4,252,23.599999999999998
R10-CFC-BELR,2026/05/31,Deakin Stadium,0-0,1-1,Fine,CroatiaRes,541,433,1,1,No,59,15,262,0,202,21.000000000000004
R11-BELR-WAN,2026/06/14,McKellar Park,2-1,6-1,Fine,WanderersRes,433,433,6,1,No,54,13,215,9,185,27
R12-BELR-TUG,2026/06/21,McKellar Park,3-0,7-0,Overcast,TuggeranongRes,451,433,7,0,Yes,70,35,342,1,164,79.800000000000011
R13-BELR-MAJ,2026/06/28,McKellar Park,8-0,20-0,Overcast,MajuraRes,451,433,20,0,Yes,72,22,304,0,144,118
R14-OLY-BELR,2026/07/05,South Jerrabomberra,1-6,1-8,Cold,OlympicRes,433,433,8,1,No,58,6,262,2,201,38.1
R15-BELR-CFC,2026/07/12,McKellar Park,2-0,5-0,Wet,CroatiaRes,443,443,5,0,Yes,57,5,244,0,196,29.799999999999997
